name,description,price,discountPrice,category,brand,stock,images,tags
"Apple iPhone 15 Pro","Latest flagship smartphone with A17 Pro chip, titanium design, and advanced camera system",119900,109900,Electronics,Apple,50,"https://images.pexels.com/photos/788946/pexels-photo-788946.jpeg","smartphone,apple,mobile,5g"
"Samsung Galaxy S24 Ultra","Premium Android phone with S Pen, 200MP camera, and AI features",124900,114900,Electronics,Samsung,45,"https://images.pexels.com/photos/1092644/pexels-photo-1092644.jpeg","smartphone,samsung,android,mobile"
"Sony WH-1000XM5 Headphones","Industry-leading noise canceling wireless headphones",29900,26900,Electronics,Sony,100,"https://images.pexels.com/photos/3394650/pexels-photo-3394650.jpeg","headphones,audio,wireless,noise-canceling"
"MacBook Pro 16-inch","Powerful laptop with M3 Max chip, stunning Liquid Retina XDR display",249900,239900,Electronics,Apple,30,"https://images.pexels.com/photos/18105/pexels-photo.jpg","laptop,apple,macbook,computer"
"Dell XPS 15 Laptop","Premium Windows laptop with Intel Core i7, 4K display",159900,149900,Electronics,Dell,40,"https://images.pexels.com/photos/1229861/pexels-photo-1229861.jpeg","laptop,dell,windows,computer"
"iPad Air 5th Gen","Versatile tablet with M1 chip, perfect for creativity and productivity",59900,54900,Electronics,Apple,60,"https://images.pexels.com/photos/1334597/pexels-photo-1334597.jpeg","tablet,ipad,apple,portable"
"Samsung 55-inch 4K Smart TV","Crystal clear 4K UHD display with smart features and streaming apps",54900,49900,Electronics,Samsung,25,"https://images.pexels.com/photos/1201996/pexels-photo-1201996.jpeg","tv,4k,smart-tv,entertainment"
"Canon EOS R6 Camera","Full-frame mirrorless camera with 20MP sensor and 4K video",209900,199900,Electronics,Canon,20,"https://images.pexels.com/photos/90946/pexels-photo-90946.jpeg","camera,photography,mirrorless,canon"
"Nikon Z6 II Camera","Dual-processor full-frame camera with excellent low-light performance",189900,179900,Electronics,Nikon,18,"https://images.pexels.com/photos/51383/photo-camera-subject-photographer-51383.jpeg","camera,nikon,photography,professional"
"PlayStation 5","Next-gen gaming console with ultra-fast SSD and ray tracing",49900,46900,Electronics,Sony,35,"https://images.pexels.com/photos/371924/pexels-photo-371924.jpeg","gaming,playstation,console,entertainment"
"Nike Air Max 270","Comfortable running shoes with Max Air cushioning",12999,9999,Fashion,Nike,150,"https://images.pexels.com/photos/2529148/pexels-photo-2529148.jpeg","shoes,sneakers,running,sportswear"
"Adidas Ultraboost 23","Premium running shoes with responsive Boost cushioning",17999,14999,Fashion,Adidas,120,"https://images.pexels.com/photos/1598505/pexels-photo-1598505.jpeg","shoes,running,adidas,athletic"
"Levi's 501 Original Jeans","Classic straight-fit jeans in authentic denim",4999,3999,Fashion,Levis,200,"https://images.pexels.com/photos/1082529/pexels-photo-1082529.jpeg","jeans,denim,casual,pants"
"Zara Slim Fit Blazer","Modern slim-fit blazer perfect for formal occasions",8999,6999,Fashion,Zara,80,"https://images.pexels.com/photos/1043474/pexels-photo-1043474.jpeg","blazer,formal,jacket,office-wear"
"H&M Cotton T-Shirt Pack","Comfortable cotton t-shirts in various colors - pack of 3",1499,999,Fashion,H&M,300,"https://images.pexels.com/photos/8532616/pexels-photo-8532616.jpeg","tshirt,casual,cotton,basics"
"Ray-Ban Aviator Sunglasses","Classic aviator sunglasses with UV protection",14999,12999,Fashion,Ray-Ban,90,"https://images.pexels.com/photos/701877/pexels-photo-701877.jpeg","sunglasses,eyewear,accessories,fashion"
"Fossil Gen 6 Smartwatch","Stylish smartwatch with Wear OS and health tracking",24999,21999,Fashion,Fossil,70,"https://images.pexels.com/photos/393047/pexels-photo-393047.jpeg","smartwatch,accessories,tech,wearable"
"Tommy Hilfiger Polo Shirt","Classic polo shirt with signature logo",3999,2999,Fashion,Tommy Hilfiger,150,"https://images.pexels.com/photos/2220315/pexels-photo-2220315.jpeg","polo,shirt,casual,branded"
"Puma Training Joggers","Comfortable joggers perfect for workouts and casual wear",3499,2499,Fashion,Puma,180,"https://images.pexels.com/photos/1358590/pexels-photo-1358590.jpeg","joggers,activewear,puma,sportswear"
"Calvin Klein Underwear Set","Premium cotton underwear - pack of 3",2499,1999,Fashion,Calvin Klein,250,"https://images.pexels.com/photos/7679482/pexels-photo-7679482.jpeg","underwear,basics,cotton,essentials"
"The Alchemist by Paulo Coelho","Inspirational novel about following your dreams",499,349,Books,HarperCollins,500,"https://images.pexels.com/photos/46274/pexels-photo-46274.jpeg","fiction,bestseller,inspirational,novel"
"Atomic Habits by James Clear","Transform your life with tiny changes and remarkable results",599,449,Books,Penguin,400,"https://images.pexels.com/photos/1029141/pexels-photo-1029141.jpeg","self-help,productivity,habits,non-fiction"
"Harry Potter Complete Collection","All 7 books in the magical Harry Potter series",4999,3999,Books,Bloomsbury,200,"https://images.pexels.com/photos/694740/pexels-photo-694740.jpeg","fantasy,series,bestseller,young-adult"
"The Psychology of Money","Timeless lessons on wealth, greed, and happiness",499,379,Books,Jaico,350,"https://images.pexels.com/photos/159621/open-book-library-education-read-159621.jpeg","finance,psychology,self-help,money"
"Sapiens by Yuval Noah Harari","A brief history of humankind from Stone Age to modern era",699,549,Books,Vintage,300,"https://images.pexels.com/photos/1370298/pexels-photo-1370298.jpeg","history,non-fiction,bestseller,science"
"Think and Grow Rich","Napoleon Hill's classic guide to success and wealth",399,299,Books,Fingerprint,450,"https://images.pexels.com/photos/1642228/pexels-photo-1642228.jpeg","self-help,business,success,classic"
"The Subtle Art of Not Giving a F*ck","A counterintuitive approach to living a good life",499,399,Books,HarperOne,280,"https://images.pexels.com/photos/256541/pexels-photo-256541.jpeg","self-help,philosophy,modern,bestseller"
"1984 by George Orwell","Dystopian novel about totalitarianism and surveillance",399,299,Books,Penguin Classics,320,"https://images.pexels.com/photos/415071/pexels-photo-415071.jpeg","fiction,classic,dystopian,literature"
"Rich Dad Poor Dad","Financial literacy lessons for building wealth",599,449,Books,Plata Publishing,400,"https://images.pexels.com/photos/1290141/pexels-photo-1290141.jpeg","finance,business,investment,self-help"
"The 7 Habits of Highly Effective People","Powerful lessons in personal change and effectiveness",699,549,Books,Simon & Schuster,250,"https://images.pexels.com/photos/1301585/pexels-photo-1301585.jpeg","self-help,productivity,leadership,business"
"Whey Protein Isolate 2kg","Premium whey protein for muscle building and recovery",3999,3499,Sports,Optimum Nutrition,150,"https://images.pexels.com/photos/4162491/pexels-photo-4162491.jpeg","supplement,protein,fitness,nutrition"
"Yoga Mat Premium NBR","Non-slip yoga mat with extra cushioning - 6mm thick",1499,999,Sports,Reebok,200,"https://images.pexels.com/photos/3822356/pexels-photo-3822356.jpeg","yoga,fitness,exercise,mat"
"Adjustable Dumbbell Set","Space-saving dumbbells from 2.5kg to 25kg per hand",14999,12999,Sports,Bowflex,60,"https://images.pexels.com/photos/3289711/pexels-photo-3289711.jpeg","weights,dumbbells,strength,gym"
"Resistance Bands Set","Set of 5 resistance bands for home workouts",999,699,Sports,TRX,250,"https://images.pexels.com/photos/4162449/pexels-photo-4162449.jpeg","resistance,bands,workout,portable"
"Football Size 5","Professional quality football for matches and training",1499,1199,Sports,Adidas,180,"https://images.pexels.com/photos/274506/pexels-photo-274506.jpeg","football,soccer,sports,outdoor"
"Cricket Bat English Willow","Professional cricket bat with superior stroke play",8999,7999,Sports,MRF,80,"https://images.pexels.com/photos/1661950/pexels-photo-1661950.jpeg","cricket,bat,sports,professional"
"Basketball Spalding NBA","Official size basketball with excellent grip",2999,2499,Sports,Spalding,120,"https://images.pexels.com/photos/1080882/pexels-photo-1080882.jpeg","basketball,sports,outdoor,indoor"
"Badminton Racket Carbon Fiber","Lightweight professional badminton racket",3499,2999,Sports,Yonex,100,"https://images.pexels.com/photos/8224733/pexels-photo-8224733.jpeg","badminton,racket,sports,indoor"
"Cycling Gloves","Padded cycling gloves with excellent grip",899,699,Sports,Decathlon,150,"https://images.pexels.com/photos/6120342/pexels-photo-6120342.jpeg","cycling,gloves,accessories,sports"
"Running Shoes Men","Lightweight running shoes with breathable mesh",4999,3999,Sports,Asics,140,"https://images.pexels.com/photos/2529148/pexels-photo-2529148.jpeg","running,shoes,athletic,footwear"
"L'Oreal Paris Face Serum","Hyaluronic acid serum for deep hydration",1499,1199,Beauty,L'Oreal,200,"https://images.pexels.com/photos/3018845/pexels-photo-3018845.jpeg","skincare,serum,beauty,moisturizer"
"Maybelline Mascara","Volumizing mascara for dramatic lashes",699,549,Beauty,Maybelline,250,"https://images.pexels.com/photos/2113855/pexels-photo-2113855.jpeg","makeup,mascara,cosmetics,eyes"
"MAC Lipstick Ruby Woo","Iconic red matte lipstick",1899,1699,Beauty,MAC,150,"https://images.pexels.com/photos/3373714/pexels-photo-3373714.jpeg","lipstick,makeup,cosmetics,beauty"
"Lakme Eyeshadow Palette","12 shade eyeshadow palette with shimmer and matte",1299,999,Beauty,Lakme,180,"https://images.pexels.com/photos/2587371/pexels-photo-2587371.jpeg","eyeshadow,makeup,palette,cosmetics"
"Neutrogena Face Wash","Oil-free acne face wash for clear skin",499,399,Beauty,Neutrogena,300,"https://images.pexels.com/photos/4465121/pexels-photo-4465121.jpeg","facewash,skincare,cleansing,acne"
"Olay Moisturizer SPF 30","Daily moisturizer with sun protection",899,749,Beauty,Olay,220,"https://images.pexels.com/photos/3685530/pexels-photo-3685530.jpeg","moisturizer,skincare,spf,beauty"
"Plum Face Mask","Natural clay face mask for detoxifying skin",599,449,Beauty,Plum,190,"https://images.pexels.com/photos/3762879/pexels-photo-3762879.jpeg","facemask,skincare,natural,beauty"
"The Body Shop Body Butter","Nourishing body butter with shea butter",1299,999,Beauty,The Body Shop,160,"https://images.pexels.com/photos/4041279/pexels-photo-4041279.jpeg","bodycare,moisturizer,butter,skincare"
"Biotique Hair Serum","Natural hair serum for shine and smoothness",399,299,Beauty,Biotique,240,"https://images.pexels.com/photos/3993442/pexels-photo-3993442.jpeg","haircare,serum,natural,beauty"
"Nivea Sunscreen SPF 50","Broad spectrum sun protection lotion",599,479,Beauty,Nivea,280,"https://images.pexels.com/photos/3685524/pexels-photo-3685524.jpeg","sunscreen,skincare,protection,spf"
"Dining Table Set 6 Seater","Solid wood dining table with 6 cushioned chairs",34999,29999,Home,Urban Ladder,25,"https://images.pexels.com/photos/1080721/pexels-photo-1080721.jpeg","furniture,dining,table,wooden"
"L-Shaped Sofa Set","Modern L-shaped sofa with storage and cushions",49999,44999,Home,IKEA,20,"https://images.pexels.com/photos/1350789/pexels-photo-1350789.jpeg","sofa,furniture,living-room,seating"
"King Size Bed Frame","Solid wood king size bed with storage drawers",39999,34999,Home,Wakefit,30,"https://images.pexels.com/photos/1454806/pexels-photo-1454806.jpeg","bed,furniture,bedroom,storage"
"Study Table with Chair","Compact study table with ergonomic chair",8999,7499,Home,Nilkamal,45,"https://images.pexels.com/photos/667838/pexels-photo-667838.jpeg","desk,furniture,study,chair"
"Wardrobe 4 Door","Spacious 4-door wardrobe with mirror",29999,25999,Home,Godrej,22,"https://images.pexels.com/photos/1743229/pexels-photo-1743229.jpeg","wardrobe,furniture,storage,bedroom"
"Kitchen Chimney 60cm","Auto-clean chimney with powerful suction",14999,12999,Home,Elica,35,"https://images.pexels.com/photos/2062426/pexels-photo-2062426.jpeg","kitchen,appliance,chimney,home"
"LED Ceiling Light","Modern LED ceiling light with remote control",2999,2499,Home,Philips,80,"https://images.pexels.com/photos/1457842/pexels-photo-1457842.jpeg","lighting,led,ceiling,home"
"Wall Clock Decorative","Designer wall clock with silent movement",1299,999,Home,Ajanta,100,"https://images.pexels.com/photos/1778412/pexels-photo-1778412.jpeg","clock,decor,wall,home"
"Curtains Door 7ft","Elegant door curtains with eyelet rings - set of 2",1999,1499,Home,Cortina,120,"https://images.pexels.com/photos/1090638/pexels-photo-1090638.jpeg","curtains,decor,window,home"
"Photo Frame Set","Collage photo frame for 8 photos",899,699,Home,Amazon Basics,150,"https://images.pexels.com/photos/1652353/pexels-photo-1652353.jpeg","frame,decor,photos,wall"
"Asus ROG Gaming Laptop","High-performance gaming laptop with RTX 4070 GPU",139900,129900,Electronics,Asus,28,"https://images.pexels.com/photos/2047905/pexels-photo-2047905.jpeg","gaming,laptop,asus,computer"
"Logitech MX Master 3S","Advanced wireless mouse with ergonomic design",9999,8999,Electronics,Logitech,85,"https://images.pexels.com/photos/2115257/pexels-photo-2115257.jpeg","mouse,computer,wireless,accessories"
"Mechanical Keyboard RGB","Gaming mechanical keyboard with customizable RGB",7999,6999,Electronics,Razer,65,"https://images.pexels.com/photos/3774821/pexels-photo-3774821.jpeg","keyboard,gaming,rgb,mechanical"
"Webcam 1080p Full HD","High-quality webcam for video calls and streaming",4999,4499,Electronics,Logitech,90,"https://images.pexels.com/photos/4226140/pexels-photo-4226140.jpeg","webcam,camera,streaming,office"
"Portable SSD 1TB","Ultra-fast portable SSD with USB-C connectivity",8999,7999,Electronics,Samsung,75,"https://images.pexels.com/photos/4316496/pexels-photo-4316496.jpeg","storage,ssd,portable,backup"
"Power Bank 20000mAh","High-capacity power bank with fast charging",2499,1999,Electronics,Mi,200,"https://images.pexels.com/photos/4316491/pexels-photo-4316491.jpeg","powerbank,charging,portable,battery"
"Bluetooth Speaker Waterproof","Portable Bluetooth speaker with 360Â° sound",3999,3499,Electronics,JBL,110,"https://images.pexels.com/photos/3394665/pexels-photo-3394665.jpeg","speaker,audio,bluetooth,portable"
"Ring Light 18 inch","LED ring light for photography and videos",2999,2499,Electronics,Digitek,95,"https://images.pexels.com/photos/3394310/pexels-photo-3394310.jpeg","lighting,photography,ring-light,video"
"Tripod Stand Professional","Heavy-duty tripod for cameras and phones",1999,1699,Electronics,Manfrotto,70,"https://images.pexels.com/photos/3671142/pexels-photo-3671142.jpeg","tripod,photography,camera,stand"
"USB Hub 7 Port","Powered USB 3.0 hub with individual switches",1499,1199,Electronics,Sabrent,130,"https://images.pexels.com/photos/1229861/pexels-photo-1229861.jpeg","usb,hub,computer,accessories"
"Leather Jacket Men","Genuine leather jacket with classic biker style",12999,9999,Fashion,Levi's,55,"https://images.pexels.com/photos/1183266/pexels-photo-1183266.jpeg","jacket,leather,fashion,outerwear"
"Formal Shirt Men","Premium cotton formal shirt - pack of 3",2999,2299,Fashion,Van Heusen,140,"https://images.pexels.com/photos/842545/pexels-photo-842545.jpeg","shirt,formal,cotton,office-wear"
"Women's Saree Silk","Traditional silk saree with designer border",7999,6499,Fashion,Fabindia,80,"https://images.pexels.com/photos/3692618/pexels-photo-3692618.jpeg","saree,traditional,silk,ethnic"
"Women's Kurti Set","Cotton kurti with palazzo pants",1999,1499,Fashion,Biba,120,"https://images.pexels.com/photos/3755021/pexels-photo-3755021.jpeg","kurti,ethnic,women,traditional"
"Handbag Leather Women","Designer leather handbag with multiple compartments",4999,3999,Fashion,Fossil,90,"https://images.pexels.com/photos/1152077/pexels-photo-1152077.jpeg","handbag,accessories,leather,women"
"Sneakers White Casual","Comfortable white sneakers for everyday wear",3499,2799,Fashion,Puma,160,"https://images.pexels.com/photos/1478442/pexels-photo-1478442.jpeg","sneakers,shoes,casual,white"
"Winter Jacket Puffer","Warm puffer jacket for cold weather",5999,4999,Fashion,North Face,70,"https://images.pexels.com/photos/1124468/pexels-photo-1124468.jpeg","jacket,winter,puffer,warm"
"Belt Leather Men","Genuine leather belt with automatic buckle",1299,999,Fashion,Woodland,180,"https://images.pexels.com/photos/5710082/pexels-photo-5710082.jpeg","belt,accessories,leather,men"
"Wallet Leather Men","RFID blocking leather wallet with multiple slots",1499,1199,Fashion,Tommy Hilfiger,150,"https://images.pexels.com/photos/3483098/pexels-photo-3483098.jpeg","wallet,accessories,leather,rfid"
"Backpack Laptop 15.6","Water-resistant laptop backpack with USB port",2499,1999,Fashion,Wildcraft,130,"https://images.pexels.com/photos/2905238/pexels-photo-2905238.jpeg","backpack,bag,laptop,travel"
"The Great Gatsby","F. Scott Fitzgerald's masterpiece of the Jazz Age",399,299,Books,Scribner,280,"https://images.pexels.com/photos/1130980/pexels-photo-1130980.jpeg","fiction,classic,literature,american"
"To Kill a Mockingbird","Harper Lee's Pulitzer Prize-winning novel",449,349,Books,Harper Perennial,260,"https://images.pexels.com/photos/1925536/pexels-photo-1925536.jpeg","fiction,classic,literature,award-winning"
"The Lean Startup","How to build a successful startup business",699,549,Books,Crown Business,190,"https://images.pexels.com/photos/590493/pexels-photo-590493.jpeg","business,startup,entrepreneurship,innovation"
"Zero to One","Notes on startups and building the future",599,449,Books,Crown Business,210,"https://images.pexels.com/photos/3747435/pexels-photo-3747435.jpeg","business,startup,innovation,technology"
"The Intelligent Investor","Benjamin Graham's definitive guide to value investing",899,699,Books,Harper Business,170,"https://images.pexels.com/photos/1927574/pexels-photo-1927574.jpeg","investing,finance,business,classic"
"Deep Work","Rules for focused success in a distracted world",599,479,Books,Grand Central,220,"https://images.pexels.com/photos/4195325/pexels-photo-4195325.jpeg","productivity,self-help,focus,work"
"The Power of Now","A guide to spiritual enlightenment",499,399,Books,New World Library,250,"https://images.pexels.com/photos/1148399/pexels-photo-1148399.jpeg","spirituality,self-help,mindfulness,meditation"
"Educated: A Memoir","Tara Westover's powerful memoir of transformation",699,549,Books,Random House,180,"https://images.pexels.com/photos/1666318/pexels-photo-1666318.jpeg","memoir,biography,non-fiction,education"
"Ikigai","The Japanese secret to a long and happy life",399,299,Books,Penguin,300,"https://images.pexels.com/photos/1181225/pexels-photo-1181225.jpeg","self-help,japanese,happiness,lifestyle"
"The Immortals of Meluha","First book of the Shiva Trilogy",399,299,Books,Westland,270,"https://images.pexels.com/photos/1370295/pexels-photo-1370295.jpeg","fiction,mythology,indian,fantasy"
"Treadmill Electric Folding","Foldable electric treadmill with LCD display",34999,29999,Sports,Powermax,35,"https://images.pexels.com/photos/3768894/pexels-photo-3768894.jpeg","treadmill,fitness,cardio,home-gym"
"Exercise Bike Indoor","Stationary bike with adjustable resistance",14999,12999,Sports,Cockatoo,40,"https://images.pexels.com/photos/3757376/pexels-photo-3757376.jpeg","bike,cardio,fitness,exercise"
"Gym Gloves Weight Lifting","Padded gym gloves for weight training",699,499,Sports,Nivia,180,"https://images.pexels.com/photos/4162494/pexels-photo-4162494.jpeg","gloves,gym,weightlifting,accessories"
"Skipping Rope Speed","High-speed jump rope for cardio workouts",399,299,Sports,Cosco,220,"https://images.pexels.com/photos/4162488/pexels-photo-4162488.jpeg","rope,cardio,fitness,portable"
"Tennis Racket Professional","Graphite tennis racket with cover",4999,4299,Sports,Wilson,70,"https://images.pexels.com/photos/1405963/pexels-photo-1405963.jpeg","tennis,racket,sports,professional"
"Golf Club Set","Complete golf club set with bag",39999,34999,Sports,Callaway,20,"https://images.pexels.com/photos/1325734/pexels-photo-1325734.jpeg","golf,clubs,sports,outdoor"
"Swimming Goggles","Anti-fog swimming goggles with UV protection",899,699,Sports,Speedo,150,"https://images.pexels.com/photos/863988/pexels-photo-863988.jpeg","swimming,goggles,sports,water"
"Boxing Gloves","Professional boxing gloves - 12oz",1999,1599,Sports,Everlast,90,"https://images.pexels.com/photos/4761779/pexels-photo-4761779.jpeg","boxing,gloves,sports,training"
"Ankle Weights Set","Adjustable ankle weights for strength training",1299,999,Sports,Reebok,110,"https://images.pexels.com/photos/4162438/pexels-photo-4162438.jpeg","weights,ankle,fitness,strength"
"Ab Roller Wheel","Core strength training ab roller with knee mat",799,599,Sports,Strauss,140,"https://images.pexels.com/photos/4162450/pexels-photo-4162450.jpeg","abs,fitness,core,exercise"
"Vitamin C Serum","Brightening vitamin C serum for glowing skin",1299,999,Beauty,Minimalist,170,"https://images.pexels.com/photos/3762870/pexels-photo-3762870.jpeg","serum,skincare,vitamin-c,brightening"
"Hair Straightener","Ceramic hair straightener with temperature control",1999,1699,Beauty,Philips,85,"https://images.pexels.com/photos/3373736/pexels-photo-3736662.jpeg","haircare,straightener,styling,beauty"
"Nail Polish Set","Set of 12 vibrant nail polish colors",999,799,Beauty,Colorbar,140,"https://images.pexels.com/photos/3997379/pexels-photo-3997379.jpeg","nailpolish,makeup,cosmetics,beauty"
"Perfume EDT 100ml","Long-lasting eau de toilette fragrance",2999,2499,Beauty,Davidoff,95,"https://images.pexels.com/photos/965989/pexels-photo-965989.jpeg","perfume,fragrance,luxury,beauty"